"feature with direction by activity and by subject" "feature with direction" "activity" "subject" "average of means" "average of standard deviations"
"magnitude of angular velocity of body none walking 8" "magnitude of angular velocity of body in direction none" "walking" "8" "-0.00310243820125" "-0.238746703958333"
"magnitude of angular velocity of body none walking 9" "magnitude of angular velocity of body in direction none" "walking" "9" "-0.294542266826923" "-0.489725811538462"
"magnitude of angular velocity of body none walking 10" "magnitude of angular velocity of body in direction none" "walking" "10" "-0.156458730358491" "-0.402025135660377"
"magnitude of angular velocity of body none walking 11" "magnitude of angular velocity of body in direction none" "walking" "11" "-0.421801673559322" "-0.558362783220339"
"magnitude of angular velocity of body none walking 12" "magnitude of angular velocity of body in direction none" "walking" "12" "-0.35593036512" "-0.4132083408"
"magnitude of angular velocity of body none walking 13" "magnitude of angular velocity of body in direction none" "walking" "13" "-0.218669558421053" "-0.253240071964912"
"magnitude of angular velocity of body none walking 14" "magnitude of angular velocity of body in direction none" "walking" "14" "-0.137208741864407" "-0.201401930542373"
"magnitude of angular velocity of body none walking 15" "magnitude of angular velocity of body in direction none" "walking" "15" "-0.243711124444444" "-0.425798469148148"
"magnitude of angular velocity of body none walking 16" "magnitude of angular velocity of body in direction none" "walking" "16" "-0.485931932745098" "-0.665078404313725"
"magnitude of angular velocity of body none walking 17" "magnitude of angular velocity of body in direction none" "walking" "17" "-0.335009836885246" "-0.522494763606557"
"magnitude of angular velocity of body none walking 18" "magnitude of angular velocity of body in direction none" "walking" "18" "-0.500471147857143" "-0.60851009125"
"magnitude of angular velocity of body none walking 19" "magnitude of angular velocity of body in direction none" "walking" "19" "0.100045071430769" "-0.0218463165461538"
"magnitude of angular velocity of body none walking 20" "magnitude of angular velocity of body in direction none" "walking" "20" "0.0686275147882353" "-0.0367853189588235"
"magnitude of angular velocity of body none walking 21" "magnitude of angular velocity of body in direction none" "walking" "21" "-0.284775644807692" "-0.408304434423077"
"magnitude of angular velocity of body none walking 22" "magnitude of angular velocity of body in direction none" "walking" "22" "-0.210608043717391" "-0.390775683913043"
"magnitude of angular velocity of body none walking 23" "magnitude of angular velocity of body in direction none" "walking" "23" "-0.0120968259523729" "0.163346451623729"
"magnitude of angular velocity of body none walking 24" "magnitude of angular velocity of body in direction none" "walking" "24" "-0.403064156896552" "-0.563863212586207"
"magnitude of angular velocity of body none walking 25" "magnitude of angular velocity of body in direction none" "walking" "25" "-0.394362401351351" "-0.489809386081081"
"magnitude of angular velocity of body none walking 26" "magnitude of angular velocity of body in direction none" "walking" "26" "-0.392092024067797" "-0.538329286101695"
"magnitude of angular velocity of body none walking 27" "magnitude of angular velocity of body in direction none" "walking" "27" "-0.396638753684211" "-0.482452355789474"
"magnitude of angular velocity of body none walking 28" "magnitude of angular velocity of body in direction none" "walking" "28" "-0.310775945814815" "-0.460511661296296"
"magnitude of angular velocity of body none walking 29" "magnitude of angular velocity of body in direction none" "walking" "29" "-0.28057326754717" "-0.358814096603774"
"magnitude of angular velocity of body none walking 30" "magnitude of angular velocity of body in direction none" "walking" "30" "-0.0229640797463077" "-0.266845731292308"
"magnitude of angular velocity of body none walkingdownstairs 1" "magnitude of angular velocity of body in direction none" "walkingdownstairs" "1" "-0.0757412543673469" "-0.225724368061224"
"magnitude of angular velocity of body none walkingdownstairs 2" "magnitude of angular velocity of body in direction none" "walkingdownstairs" "2" "-0.162188586930426" "-0.274844110531915"
"magnitude of angular velocity of body none walkingdownstairs 3" "magnitude of angular velocity of body in direction none" "walkingdownstairs" "3" "-0.215294501244898" "-0.245794699346939"
"magnitude of angular velocity of body none walkingdownstairs 4" "magnitude of angular velocity of body in direction none" "walkingdownstairs" "4" "-0.3466062928" "-0.3805726254"
"magnitude of angular velocity of body none walkingdownstairs 5" "magnitude of angular velocity of body in direction none" "walkingdownstairs" "5" "-0.218029835319149" "-0.360678305253192"
"magnitude of angular velocity of body none walkingdownstairs 6" "magnitude of angular velocity of body in direction none" "walkingdownstairs" "6" "0.0142677821595833" "-0.0426276750979167"
"magnitude of angular velocity of body none walkingdownstairs 7" "magnitude of angular velocity of body in direction none" "walkingdownstairs" "7" "-0.18874081887234" "-0.259751603446809"
"magnitude of angular velocity of body none walkingdownstairs 8" "magnitude of angular velocity of body in direction none" "walkingdownstairs" "8" "0.0993429744078947" "-0.0466291872078947"
"magnitude of angular velocity of body none walkingdownstairs 9" "magnitude of angular velocity of body in direction none" "walkingdownstairs" "9" "-0.168921400633333" "-0.322331464761905"
"magnitude of angular velocity of body none walkingdownstairs 10" "magnitude of angular velocity of body in direction none" "walkingdownstairs" "10" "-0.0238468037578947" "-0.280382850552632"
"magnitude of angular velocity of body none walkingdownstairs 11" "magnitude of angular velocity of body in direction none" "walkingdownstairs" "11" "-0.19788336026087" "-0.339349828493478"
"magnitude of angular velocity of body none walkingdownstairs 12" "magnitude of angular velocity of body in direction none" "walkingdownstairs" "12" "-0.213351510686957" "-0.32045862629"
"magnitude of angular velocity of body none walkingdownstairs 13" "magnitude of angular velocity of body in direction none" "walkingdownstairs" "13" "-0.102114480531915" "-0.236762631468085"
"magnitude of angular velocity of body none walkingdownstairs 14" "magnitude of angular velocity of body in direction none" "walkingdownstairs" "14" "0.166340011842444" "-0.0665144570666667"
"magnitude of angular velocity of body none walkingdownstairs 15" "magnitude of angular velocity of body in direction none" "walkingdownstairs" "15" "-0.121686320740476" "-0.284249712071429"
"magnitude of angular velocity of body none walkingdownstairs 16" "magnitude of angular velocity of body in direction none" "walkingdownstairs" "16" "-0.309820427234043" "-0.422315316808511"
"magnitude of angular velocity of body none walkingdownstairs 17" "magnitude of angular velocity of body in direction none" "walkingdownstairs" "17" "-0.232641763307609" "-0.352687281086957"
"magnitude of angular velocity of body none walkingdownstairs 18" "magnitude of angular velocity of body in direction none" "walkingdownstairs" "18" "-0.381022814727273" "-0.507995478327273"
"magnitude of angular velocity of body none walkingdownstairs 19" "magnitude of angular velocity of body in direction none" "walkingdownstairs" "19" "0.418004608615385" "0.237821231894872"
"magnitude of angular velocity of body none walkingdownstairs 20" "magnitude of angular velocity of body in direction none" "walkingdownstairs" "20" "0.0938419436933333" "-0.0305762438706667"
"magnitude of angular velocity of body none walkingdownstairs 21" "magnitude of angular velocity of body in direction none" "walkingdownstairs" "21" "-0.184850019535556" "-0.388420328666667"
"magnitude of angular velocity of body none walkingdownstairs 22" "magnitude of angular velocity of body in direction none" "walkingdownstairs" "22" "-0.161333309783333" "-0.263921983758333"
"magnitude of angular velocity of body none walkingdownstairs 23" "magnitude of angular velocity of body in direction none" "walkingdownstairs" "23" "0.0390915481555556" "0.0539972903222222"
"magnitude of angular velocity of body none walkingdownstairs 24" "magnitude of angular velocity of body in direction none" "walkingdownstairs" "24" "-0.304965806363636" "-0.3636948774"
"magnitude of angular velocity of body none walkingdownstairs 25" "magnitude of angular velocity of body in direction none" "walkingdownstairs" "25" "-0.216082565601724" "-0.38216092137931"
"magnitude of angular velocity of body none walkingdownstairs 26" "magnitude of angular velocity of body in direction none" "walkingdownstairs" "26" "-0.23531462282" "-0.296158291686"
"magnitude of angular velocity of body none walkingdownstairs 27" "magnitude of angular velocity of body in direction none" "walkingdownstairs" "27" "-0.164783206536364" "-0.307952089840909"
"magnitude of angular velocity of body none walkingdownstairs 28" "magnitude of angular velocity of body in direction none" "walkingdownstairs" "28" "-0.068246324026087" "-0.22448414468913"
"magnitude of angular velocity of body none walkingdownstairs 29" "magnitude of angular velocity of body in direction none" "walkingdownstairs" "29" "-0.122968108816667" "-0.26740979843125"
"magnitude of angular velocity of body none walkingdownstairs 30" "magnitude of angular velocity of body in direction none" "walkingdownstairs" "30" "-0.095537320533871" "-0.208267542032258"
"magnitude of angular velocity of body none walkingupstairs 1" "magnitude of angular velocity of body in direction none" "walkingupstairs" "1" "-0.126735589969811" "-0.14861931805283"
"magnitude of angular velocity of body none walkingupstairs 2" "magnitude of angular velocity of body in direction none" "walkingupstairs" "2" "-0.219713472958333" "-0.377532167604167"
"magnitude of angular velocity of body none walkingupstairs 3" "magnitude of angular velocity of body in direction none" "walkingupstairs" "3" "-0.347321812220339" "-0.408886653186441"
